Name,Accession,Notes,AccessionFull,,
Vanuytsel_2020,GSE160251,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160251,10.1101/2020.11.11.378620,
Wang_2022,,,https://db.cngb.org/search/sample/?q=CNP0001350,https://doi.org/10.1016/j.isci.2022.103857,10.1101/2020.11.03.367532
Holmes_2020,GSE139891,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139891,10.1084/jem.20200483,
Chung_2021,GSE163480,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163480,10.1038/s41592-021-01278-1,
Poch_2021,E-MTAB-10143,,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-10143/,10.1016/j.jhep.2021.03.016,
Valenzi_2019,GSE128169,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE128169,10.1136/annrheumdis-2018-214865,
LeCoz_2021,GSE165645,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165645,10.1084/jem.20201750,
Trzupek_2021,,,https://files.de-1.osf.io/v1/resources/edctn/providers/osfstorage/60786b22eb9cc9009115024f/?zip=,10.12688/wellcomeopenres.16883.2,10.1101/2021.04.27.21256106
RinconArevalo_2021,GSE176442,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176442,10.1126/sciimmunol.abj1031,
Lee_2021,GSE165045,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165045,10.1101/2021.04.05.438347,
Papalexi_2021,GSE153056,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153056,10.1038/s41588-021-00778-2,
Leader_2021,GSE154826,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154826,10.1016/j.ccell.2021.10.009,
Frangieh_2021,,Perturb-CITE-seq,https://singlecell.broadinstitute.org/single_cell/study/SCP1064/multi-modal-pooled-perturb-cite-seq-screens-in-patient-models-define-novel-mechanisms-of-cancer-immune-evasion,10.1038/s41588-021-00779-1,requires sign in
Bai_2022,GSE197215,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197215,DOI: 10.1126/sciadv.abj2820,
Triana_2021,,,https://figshare.com/projects/Single-cell_proteo-genomic_reference_maps_of_the_human_hematopoietic_system/94469,https://doi.org/10.1038/s41590-021-01059-0,
Li_2023,syn26320659,scTriangulate,https://www.synapse.org/#!Synapse:syn26320659,https://doi.org/10.1038/s41467-023-36016-y,requires sign in
Ty_2023,GSE210943,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210943,10.1126/scitranslmed.add9012,
Nettersheim_2022,GSE213282,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213282,https://doi.org/10.1038/s41598-022-24371-7,
Colpitts_2023,GSE224767,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224767,,
